first_name,last_name,full_name,gender,region
Bích,Bùi,Bùi Mỹ Bích,F,Trung
Bích,Bùi,Bùi Thị Bích,F,Bắc
Bích,Bùi,Bùi Thị Bích,F,Nam
Huyền,Bùi,Bùi Thị Huyền,F,Nam
Hạnh,Bùi,Bùi Thúy Hạnh,F,Bắc
Loan,Bùi,Bùi Ngọc Loan,F,Trung
Lệ,Bùi,Bùi Mỹ Lệ,F,Bắc
Thủy,Bùi,Bùi Thị Thủy,F,Nam
Tuyết,Bùi,Bùi Thị Tuyết,F,Bắc
Vy,Bùi,Bùi Diệu Vy,F,Trung
Xuân,Bùi,Bùi Kim Xuân,F,Trung
Yến,Bùi,Bùi Thanh Yến,F,Nam
Huyền,Dương,Dương Kim Huyền,F,Trung
Huyền,Dương,Dương Thanh Huyền,F,Nam
Hằng,Dương,Dương Diệu Hằng,F,Nam
Hồng,Dương,Dương Thị Hồng,F,Nam
Lệ,Dương,Dương Thanh Lệ,F,Nam
Lệ,Dương,Dương Kim Lệ,F,Nam
My,Dương,Dương Thị My,F,Trung
Nga,Dương,Dương Ngọc Nga,F,Trung
Nhi,Dương,Dương Thị Nhi,F,Trung
Như,Dương,Dương Kim Như,F,Trung
Thanh,Dương,Dương Thanh Thanh,F,Bắc
Trâm,Dương,Dương Thúy Trâm,F,Bắc
Tuyết,Dương,Dương Mỹ Tuyết,F,Trung
Uyên,Dương,Dương Diệu Uyên,F,Bắc
Bích,Hoàng,Hoàng Ngọc Bích,F,Trung
Hà,Hoàng,Hoàng Kim Hà,F,Bắc
Thu,Hoàng,Hoàng Diệu Thu,F,Nam
Tiên,Hoàng,Hoàng Thanh Tiên,F,Nam
Châu,Huỳnh,Huỳnh Thị Châu,F,Trung
Giang,Huỳnh,Huỳnh Thị Giang,F,Nam
Hằng,Huỳnh,Huỳnh Thị Hằng,F,Trung
Kim,Huỳnh,Huỳnh Diệu Kim,F,Bắc
Lệ,Huỳnh,Huỳnh Thị Lệ,F,Bắc
Lệ,Huỳnh,Huỳnh Thị Lệ,F,Nam
Lệ,Huỳnh,Huỳnh Diệu Lệ,F,Bắc
My,Huỳnh,Huỳnh Diệu My,F,Nam
Nhi,Huỳnh,Huỳnh Kim Nhi,F,Nam
Phương,Huỳnh,Huỳnh Thúy Phương,F,Bắc
Thu,Huỳnh,Huỳnh Thanh Thu,F,Nam
Thu,Huỳnh,Huỳnh Thị Thu,F,Nam
Thảo,Huỳnh,Huỳnh Thị Thảo,F,Bắc
Tuyết,Huỳnh,Huỳnh Thị Tuyết,F,Bắc
Tâm,Huỳnh,Huỳnh Mỹ Tâm,F,Bắc
Hoa,Lê,Lê Thị Hoa,F,Bắc
