gap_id,filename,current_status,current_completion,verdict,recommended_action,evidence_summary,related_gaps,notes
GAP-350,closed/GAP-350-round-3-polish-kitehub-story-v2.md,🟢 DONE 2026-05-05 — Wave,100,LEGACY_ARCHIVE,Keep as-is (pre-CSV-migration grandfathered per gap-folder-organization.md v2.0.0),Status=🟢 DONE 2026-05-05 — Wave ; last_log=2026-05-05,,
GAP-136,closed/GAP-136-kitehub-frontend-missing-not-found-error-pages.md,🟢 DONE (2026-04-19; feature,100,LEGACY_ARCHIVE,Keep as-is (pre-CSV-migration grandfathered per gap-folder-organization.md v2.0.0),Status=🟢 DONE (2026-04-19; feature ; last_log=no-log-entry,,
GAP-250,closed/GAP-250-ci-gate-rule-frontmatter.md,🟢 DONE 2026-04-28 — Layer,100,LEGACY_ARCHIVE,Keep as-is (pre-CSV-migration grandfathered per gap-folder-organization.md v2.0.0),Status=🟢 DONE 2026-04-28 — Layer ; last_log=2026-04-28,,
GAP-133,closed/GAP-133-hibernate-jdbc-batch-size-missing.md,🟢 DONE,100,LEGACY_ARCHIVE,Keep as-is (pre-CSV-migration grandfathered per gap-folder-organization.md v2.0.0),Status=🟢 DONE ; last_log=no-log-entry,,
GAP-389,closed/GAP-389-wave-33-ops-p1-cluster.md,🟢 DONE 2026-05-07,100,LEGACY_ARCHIVE,Keep as-is (pre-CSV-migration grandfathered per gap-folder-organization.md v2.0.0),Status=🟢 DONE 2026-05-07 ; last_log=2026-05-07,,
GAP-131,closed/GAP-131-external-http-timeouts-partial.md,🟢 DONE,100,LEGACY_ARCHIVE,Keep as-is (pre-CSV-migration grandfathered per gap-folder-organization.md v2.0.0),Status=🟢 DONE ; last_log=no-log-entry,,
GAP-243,closed/GAP-243-admin-test-context-setup-completeness.md,🟢 DONE 2026-04-27 — @Dyna,100,LEGACY_ARCHIVE,Keep as-is (pre-CSV-migration grandfathered per gap-folder-organization.md v2.0.0),Status=🟢 DONE 2026-04-27 — @Dyna ; last_log=2026-04-27,,
GAP-385,closed/GAP-385-beta-signup-pdpl-consent-gap.md,🟢 DONE 2026-05-07 (Wave 35,100,LEGACY_ARCHIVE,Keep as-is (pre-CSV-migration grandfathered per gap-folder-organization.md v2.0.0),Status=🟢 DONE 2026-05-07 (Wave 35 ; last_log=2026-05-07,,
GAP-467,closed/GAP-467-helm-values-go-templates-embedded-pr984.md,🟢 DONE — Wave 58 Bucket A,100,LEGACY_ARCHIVE,Keep as-is (pre-CSV-migration grandfathered per gap-folder-organization.md v2.0.0),Status=🟢 DONE — Wave 58 Bucket A ; last_log=2026-05-11,,
GAP-199,closed/GAP-199-rework-audit-context-degraded-prs.md,🟢 DONE (Phase 1 — skill d,100,LEGACY_ARCHIVE,Keep as-is (pre-CSV-migration grandfathered per gap-folder-organization.md v2.0.0),Status=🟢 DONE (Phase 1 — skill d ; last_log=no-log-entry,,
GAP-384,closed/GAP-384-beta-admin-endpoints-unauthenticated.md,🟢 DONE 2026-05-08 (Wave 35,100,LEGACY_ARCHIVE,Keep as-is (pre-CSV-migration grandfathered per gap-folder-organization.md v2.0.0),Status=🟢 DONE 2026-05-08 (Wave 35 ; last_log=2026-05-08,,
GAP-088,closed/GAP-088-rollback-procedure.md,🟢 DONE,100,LEGACY_ARCHIVE,Keep as-is (pre-CSV-migration grandfathered per gap-folder-organization.md v2.0.0),Status=🟢 DONE ; last_log=no-log-entry,,
GAP-175,closed/GAP-175-logs-format-standard.md,🟢 DONE (standard published;,100,LEGACY_ARCHIVE,Keep as-is (pre-CSV-migration grandfathered per gap-folder-organization.md v2.0.0),Status=🟢 DONE (standard published; ; last_log=2026-04-20,,
GAP-153,closed/GAP-153-secondary-persona-acceptance-criteria.md,🟢 DONE — Wave Secondary-P,100,LEGACY_ARCHIVE,Keep as-is (pre-CSV-migration grandfathered per gap-folder-organization.md v2.0.0),Status=🟢 DONE — Wave Secondary-P ; last_log=2026-04-30,,
GAP-249,closed/GAP-249-rule-frontmatter-bulk-backfill.md,🟢 DONE 2026-04-28 — All 8,100,LEGACY_ARCHIVE,Keep as-is (pre-CSV-migration grandfathered per gap-folder-organization.md v2.0.0),Status=🟢 DONE 2026-04-28 — All 8 ; last_log=2026-04-28,,
