name,grade_level,subject
Lớp Anh ngữ 1A,1,Anh ngữ
Lớp Anh ngữ 2A,2,Anh ngữ
Lớp Anh ngữ 3A,3,Anh ngữ
Lớp Anh ngữ 4A,4,Anh ngữ
Lớp Anh ngữ 5A1,5,Anh ngữ
Lớp Anh ngữ 5A2,5,Anh ngữ
Lớp Anh ngữ 6B,6,Anh ngữ
Lớp Anh ngữ 7B,7,Anh ngữ
Lớp Anh ngữ 8B,8,Anh ngữ
Lớp Anh ngữ 9B,9,Anh ngữ
Lớp Anh ngữ 10C,10,Anh ngữ
Lớp Anh ngữ 11C,11,Anh ngữ
Lớp Anh ngữ 12C,12,Anh ngữ
Lớp Toán 1A,1,Toán
Lớp Toán 2A,2,Toán
Lớp Toán 5A1,5,Toán
Lớp Toán 5A2,5,Toán
Lớp Toán 6B,6,Toán
Lớp Toán 7B,7,Toán
Lớp Toán 8B,8,Toán
Lớp Toán 9B,9,Toán
Lớp Toán 10C,10,Toán
Lớp Toán 11C,11,Toán
Lớp Toán 12C,12,Toán
Lớp Lý 10C,10,Lý
Lớp Lý 11C,11,Lý
Lớp Lý 12C,12,Lý
Lớp Hóa 10C,10,Hóa
Lớp Hóa 11C,11,Hóa
Lớp Hóa 12C,12,Hóa
Lớp Văn 6B,6,Văn
Lớp Văn 9B,9,Văn
Lớp Văn 12C,12,Văn
Lớp Sử 9B,9,Sử
Lớp Sử 12C,12,Sử
Lớp Địa 9B,9,Địa
Lớp Tin học 5A1,5,Tin học
Lớp Tin học 8B,8,Tin học
Lớp Tin học 11C,11,Tin học
Lớp Tiếng Nhật N5,0,Tiếng Nhật
Lớp Tiếng Nhật N4,0,Tiếng Nhật
Lớp Tiếng Hàn Sơ cấp,0,Tiếng Hàn
Lớp Tiếng Hàn Trung cấp,0,Tiếng Hàn
Lớp IELTS Foundation,0,IELTS
Lớp IELTS Intermediate,0,IELTS
Lớp IELTS Advanced,0,IELTS
Lớp TOEIC 500+,0,TOEIC
Lớp TOEIC 700+,0,TOEIC
Lớp Sinh học 12C,12,Sinh học
Lớp Robotics Cơ bản,0,Robotics
