street,district,city
123 Lê Lợi,Q.1,TP.HCM
45 Nguyễn Huệ,Q.1,TP.HCM
67 Đồng Khởi,Q.1,TP.HCM
89 Pasteur,Q.1,TP.HCM
12 Hai Bà Trưng,Q.1,TP.HCM
34 Nguyễn Du,Q.1,TP.HCM
56 Lý Tự Trọng,Q.1,TP.HCM
78 Nam Kỳ Khởi Nghĩa,Q.1,TP.HCM
101 Cách Mạng Tháng 8,Q.3,TP.HCM
202 Võ Văn Tần,Q.3,TP.HCM
303 Trần Quốc Thảo,Q.3,TP.HCM
404 Lê Văn Sỹ,Q.3,TP.HCM
505 Bà Huyện Thanh Quan,Q.3,TP.HCM
156 Sư Vạn Hạnh,Q.10,TP.HCM
234 Ba Tháng Hai,Q.10,TP.HCM
345 Lý Thường Kiệt,Q.10,TP.HCM
102 Lê Hồng Phong,Q.5,TP.HCM
204 Trần Hưng Đạo,Q.5,TP.HCM
156 Nguyễn Trãi,Q.5,TP.HCM
189 An Dương Vương,Q.5,TP.HCM
55 Phan Đăng Lưu,Q.Bình Thạnh,TP.HCM
77 Bạch Đằng,Q.Bình Thạnh,TP.HCM
99 Xô Viết Nghệ Tĩnh,Q.Bình Thạnh,TP.HCM
12 Nguyễn Văn Đậu,Q.Bình Thạnh,TP.HCM
234 Hoàng Văn Thụ,Q.Phú Nhuận,TP.HCM
156 Phan Xích Long,Q.Phú Nhuận,TP.HCM
89 Hoa Lan,Q.Phú Nhuận,TP.HCM
78 Trường Sơn,Q.Tân Bình,TP.HCM
145 Cộng Hòa,Q.Tân Bình,TP.HCM
267 Bạch Đằng,Q.Tân Bình,TP.HCM
389 Lý Thường Kiệt,Q.Tân Bình,TP.HCM
56 Bùi Thị Xuân,Q.Tân Bình,TP.HCM
123 Nguyễn Văn Linh,Q.7,TP.HCM
234 Phú Mỹ Hưng,Q.7,TP.HCM
345 Nguyễn Thị Thập,Q.7,TP.HCM
89 Phạm Văn Chiêu,Q.Gò Vấp,TP.HCM
156 Quang Trung,Q.Gò Vấp,TP.HCM
267 Nguyễn Văn Nghi,Q.Gò Vấp,TP.HCM
12 Võ Văn Ngân,TP.Thủ Đức,TP.HCM
34 Đinh Tiên Hoàng,Q.Bình Thạnh,TP.HCM
45 Hai Bà Trưng,Q.Hai Bà Trưng,Hà Nội
67 Trần Hưng Đạo,Q.Hoàn Kiếm,Hà Nội
89 Lý Thường Kiệt,Q.Hoàn Kiếm,Hà Nội
102 Hàng Bài,Q.Hoàn Kiếm,Hà Nội
234 Phố Huế,Q.Hai Bà Trưng,Hà Nội
345 Bà Triệu,Q.Hai Bà Trưng,Hà Nội
12 Xuân Thủy,Q.Cầu Giấy,Hà Nội
34 Trần Duy Hưng,Q.Cầu Giấy,Hà Nội
56 Nguyễn Khang,Q.Cầu Giấy,Hà Nội
78 Tô Hiệu,Q.Cầu Giấy,Hà Nội
123 Thái Hà,Q.Đống Đa,Hà Nội
234 Tây Sơn,Q.Đống Đa,Hà Nội
